"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Canada","CAN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.08276067616699","3.45493746220347","3.53812963050338","3.01319503636323","2.73854351520057","2.74367056117934","2.92670053247824","2.63150774500629","2.51218604941058","2.4798021062393","2.62006116819882","2.56029277954374","2.42728894156286","2.51565547279566","2.69502825626155","3.03534978392574","2.76444470394688","2.63895749055838","2.82393719128304","2.6759092252747","2.3711903860705","2.49198043345986","2.25720042606246","2.04512634110731","2.0978084234981","2.41825270270527","2.54959304892253","2.70059966486217","2.68049563179799","2.83889849014773","3.03221547435648","",
"Central Europe and the Baltics","CEB","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.81334171986772","1.67039839765526","1.52678405022222","1.83300778577913","1.15535050037665","1.23534787034464","1.50520359537223","1.3859558214634","1.33866808221031","1.47863288561472","0.867060190353337","1.40506728582881","1.03973481472876","0.944931167476808","1.10485983011622","1.03705752212389","0.61094270164412","0.674384583496294","0.771463608334809","0.632641952333065","0.676203564321003","0.590042847372334","0.708451651084526","0.624026985922201","0.418925888806719","0.6575440146569","0.48191575004283","0.596668394618338","0.520538558657124","0.469410732278395","0.46580436961763","",
"Channel Islands","CHI","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.19123118220492","6.20057249053263","6.20819457096458","5.89856128617338","6.38557680546465","5.29951109926032","6.14310510734929","4.63629600823089","5.180970849175","4.29070425216801","6.03139041556231","5.91170940088952","7.39783838020536","7.92118604102806","7.02222083300238","8.64660110597985","",
"China","CHN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.06789235998034","1.30574320841723","1.41337283194671","","","","","",
"Congo, Dem. Rep.","COD","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137.874183493515","158.782284168681","153.76764415948","152.496587147739","142.647271376199","115.479007161712","118.661090900468","115.902428594573","113.509748604713","117.959402397858","126.70275937217","129.877679396846","130.512052818258","105.864307051431","90.1074170028297","79.5125919736634","76.3091607362067","73.7746907042863","68.6031715525638","66.3829003266931","64.2293306151205","66.0539886213189","66.6799113976225","62.3102126710096","52.8961109604236","50.2988971384977","48.11553011298","46.5192260084491","47.2943418306677","44.6522632668308","42.4462079866593","",
"Comoros","COM","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3072584433005","18.0922900639225","18.3193729317623","19.2441661310374","14.8249515338123","","11.8682916335962","9.52848650986198","10.1436044573896","9.67336278334892","",
"Costa Rica","CRI","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.07618158551012","6.65075446530725","8.17796743499046","8.2919866929232","9.03879270665571","8.82145452191906","9.34315504981813","10.1972145470445","10.300595403375","10.9100517164039","10.4948436897484","11.2920162664968","10.8940529478244","12.5566037045631","11.3857164879625","12.7426770636727","14.0480774792791","15.0396239731606","20.2109631060494","20.5753231230868","20.3247156829606","17.6707609676164","15.2093846589711","15.7973956624143","17.7506212717445","21.2324729028295","20.8925100759435","22.0181114116437","20.7664043591043","20.4159380687474","19.9601112108244","",
"Caribbean small states","CSS","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.24412105520619","11.45876141711","12.71895965546","11.803711799251","10.3483102269827","10.636852395095","11.451521137675","8.13874792778435","7.78785592033889","8.01464199618496","8.52721857715476","8.73628947453988","9.16518861655044","9.19259283672548","7.89457692463281","7.65523942252014","7.06099051217386","7.37522136852245","6.7877136294066","7.19474676102165","8.6304695600837","9.39664113763904","7.90079027476778","8.52916352005686","8.00791203015662","","","","","",
"Curacao","CUW","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.068265351128","54.4401735486745","67.9573029238215","56.2532056054665","32.7874227446352","24.1767806198927","36.2079279619659","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","",
"Cyprus","CYP","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.34371337947845","3.4583860096758","2.08166169591086","1.86608942300515","1.28945027050825","2.18413336318316","1.25994002685472","0.534418321285169","2.99960652220326","1.57396315177377","1.04045100082716","2.06400123840074","1.36511782673242","1.18533369683567","1.51266859952099","0.834310867566499","1.82265862929443","",
"Czech Republic","CZE","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.46742874852491","2.34370012193706","2.33841500624757","2.45816996930452","2.49636422940133","2.20405799019248","2.83686866436827","1.76110985142837","1.62401814569608","2.10777346855202","1.6879021300679","1.26086798151848","1.51311863905331","1.40315540005344","1.37189024329298","1.08915576230498","0.966834483350723","0.809272568010688","1.0964572696175","0.749825088878306","0.691861840571586","0.748707040533847","0.555657851953204","0.688071421813584","","1.10252996410315","0.720717713458569","",
"Germany","DEU","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4392237817862","1.74965275771702","1.77884927016374","2.03157749475469","3.24037880717698","3.40344082529704","3.17736862188857","2.90602955100731","2.52176576970305","2.04528291729459","2.06606842843862","1.73569536364783","1.75538534241671","1.53156820683342","1.64034395354044","1.49472816148862","1.37066241202343","1.25236465559368","1.16917527837333","1.0522372987388","1.00962133798351","1.00865516914088","0.913493200515281","0.888079459931285","0.941904339695577","0.882545039132296","1.22082976784316","1.06289686034259","1.02649678348086","0.841230169423029","1.02617566471012","",
"Djibouti","DJI","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.630961352434111","0.982957869639341","1.17537265189928","1.7560187542803","1.94278045298646","1.54735166893483","1.61880302599137","1.76304654442877","1.06297385509955","0.890793996343411","0.983769691947656","1.24058601466145","1.24080301763294","1.38732190255076","0.971847085094183","1.30337943945002","0.667339691103287","0.811551176786095","1.35081066650799","1.20395817668196","0.725614895132321","1.11849155178075","1.11235144277364","1.24919694482119","1.52705533657898","1.36534366488189","1.16180778699909","1.78900226642032","1.32853522348934","1.35904033631718","1.31973726114926","",
"Dominican Republic","DOM","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.6333735487187","42.3539251306509","41.2379369814856","46.4273617632515","45.6384380244091","46.5241565032126","46.3176832382399","41.5142769345713","","31.8764943948042","","27.7919791502497","19.4934591361944","17.2415578010991","16.4175828025727","15.3740924579095","",
"Algeria","DZA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.03330073931873","0.882836393382757","2.50073922179276","2.33753263512048","","","","2.20233267030399","2.24792053808537","",
"East Asia & Pacific (excluding high income)","EAP","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7219468464412","19.7986908284611","15.909708007489","15.3305808273506","18.5804617344561","","","","","","26.5246461228031","23.294716429495","26.0895376231734","26.1596796263738","31.8490942456911","28.2005910904348","30.6770992144215","28.5137490034681","32.8613686746326","31.7264953546167","31.740531328782","27.4243218373824","21.8207119462139","18.7156868479071","14.0744878495472","10.8195247813328","9.46295718744919","9.21534109025343","10.0149780079975","11.9325878975482","13.6788719905773","",
"Egypt, Arab Rep.","EGY","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.721930210364848","1.20479951178059","1.0440069823187","1.30916524812999","2.13025252592853","1.75466404467633","3.92764521642952","5.5542082411759","4.45433982315651","","","","","","","","","",
"Euro area","EMU","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.18924116411395","2.08466929502874","1.9829525056113","1.5574242356053","1.79054952087199","1.4330862593069","1.40278479943326","1.22915487291579","1.19697451653104","1.05497248404646","1.10681960242408","1.03128675158403","0.781761327037263","0.849845700517571","0.789832852604404","0.790813421947545","0.847309055628635","0.75018218087032","0.901542500020034","0.778994546951133","",
